asset_name,symbol,year_month,mint_count,mint_volume_tokens,burn_count,burn_volume_tokens,net_issuance_tokens
Backed bCSPX,bCSPX,2025-12,0,0.0,0,0.0,0.0
Backed bCSPX,bCSPX,2026-01,0,0.0,0,0.0,0.0
Backed bCSPX,bCSPX,2026-02,0,0.0,0,0.0,0.0
Backed bCSPX,bCSPX,2026-03,0,0.0,0,0.0,0.0
Backed bCSPX,bCSPX,2026-04,0,0.0,0,0.0,0.0
Backed bCSPX,bCSPX,2026-05,0,0.0,0,0.0,0.0
Backed bIB01,bIB01,2025-12,0,0.0,0,0.0,0.0
Backed bIB01,bIB01,2026-03,0,0.0,0,0.0,0.0
Backed bIB01,bIB01,2026-04,0,0.0,0,0.0,0.0
Backed bIB01,bIB01,2026-05,0,0.0,0,0.0,0.0
BlackRock BUIDL,BUIDL,2025-12,524,13875750.81,4,13114789.94,760960.87
BlackRock BUIDL,BUIDL,2026-01,631,8582527.46,5,5987926.94,2594600.52
BlackRock BUIDL,BUIDL,2026-02,573,5580746.49,4,2050049.72,3530696.77
BlackRock BUIDL,BUIDL,2026-03,690,1811250.12,8,5528619.31,-3717369.19
BlackRock BUIDL,BUIDL,2026-04,530,6485727.92,2,27411614.67,-20925886.75
BlackRock BUIDL,BUIDL,2026-05,688,35412740.02,2,4505039.21,30907700.81
BlackRock BUIDL,BUIDL,2026-06,64,61752.88,0,0.0,61752.88
Franklin Templeton BENJI (FOBXX),BENJI,2026-05,3,3031.9579,0,0.0,3031.9579
Maple Finance MPL,MPL,2025-12,0,0.0,0,0.0,0.0
Maple Finance MPL,MPL,2026-01,0,0.0,0,0.0,0.0
Maple Finance MPL,MPL,2026-02,0,0.0,0,0.0,0.0
Maple Finance MPL,MPL,2026-03,0,0.0,0,0.0,0.0
Maple Finance MPL,MPL,2026-04,0,0.0,0,0.0,0.0
Maple Finance MPL,MPL,2026-05,0,0.0,0,0.0,0.0
Maple Finance MPL,MPL,2026-06,0,0.0,0,0.0,0.0
Ondo OUSG,OUSG,2025-12,14,515095.2232,10,36636.2797,478458.9435
Ondo OUSG,OUSG,2026-01,3,767.1686,15,1253137.8187,-1252370.6501
Ondo OUSG,OUSG,2026-02,19,895337.0966,20,1426527.5808,-531190.4841
Ondo OUSG,OUSG,2026-03,12,70551.4441,34,1191547.3079,-1120995.8639
Ondo OUSG,OUSG,2026-04,12,731575.2221,26,1722711.5124,-991136.2902
Ondo OUSG,OUSG,2026-05,16,357657.6774,26,620699.5078,-263041.8304
Ondo OUSG,OUSG,2026-06,1,2091.915,2,13001.9226,-10910.0076
Ondo USDY,USDY,2025-12,60,546296.1596,4,1089968.3008,-543672.1412
Ondo USDY,USDY,2026-01,49,989117.5655,19,165265500.9194,-164276383.3538
Ondo USDY,USDY,2026-02,38,198902.1726,30,97070335.7528,-96871433.5802
Ondo USDY,USDY,2026-03,28,537115906.8826,17,149105976.7418,388009930.1409
Ondo USDY,USDY,2026-04,107,51178443.6881,175,101251614.0466,-50073170.3585
Ondo USDY,USDY,2026-05,378,731866788.2013,122,326971281.1472,404895507.0541
Ondo USDY,USDY,2026-06,23,93214161.4776,10,1798.7806,93212362.697
Paxos Gold,PAXG,2025-12,37,45198.3576,0,0.0,45198.3576
Paxos Gold,PAXG,2026-01,62,151709.9983,0,0.0,151709.9983
Paxos Gold,PAXG,2026-02,0,0.0,0,0.0,0.0
Paxos Gold,PAXG,2026-03,0,0.0,0,0.0,0.0
Paxos Gold,PAXG,2026-04,0,0.0,0,0.0,0.0
Paxos Gold,PAXG,2026-05,0,0.0,0,0.0,0.0
Superstate USTB,USTB,2025-12,129,17715257.6074,360,21431127.5044,-3715869.8969
Superstate USTB,USTB,2026-01,142,18078357.6959,475,10994540.6593,7083817.0366
Superstate USTB,USTB,2026-02,154,40712295.5661,780,34645689.9642,6066605.6019
Superstate USTB,USTB,2026-03,213,32723359.637,689,45093152.0266,-12369792.3897
Superstate USTB,USTB,2026-04,200,66874385.9396,319,37078682.2983,29795703.6413
Superstate USTB,USTB,2026-05,222,53489776.8124,474,68744778.4497,-15255001.6374
Superstate USTB,USTB,2026-06,17,4561442.7966,43,5235289.168,-673846.3714
Tether Gold,XAUT,2025-12,0,0.0,0,0.0,0.0
Tether Gold,XAUT,2026-01,0,0.0,0,0.0,0.0
Tether Gold,XAUT,2026-02,0,0.0,0,0.0,0.0
Tether Gold,XAUT,2026-03,0,0.0,0,0.0,0.0
Tether Gold,XAUT,2026-04,0,0.0,0,0.0,0.0
Tether Gold,XAUT,2026-05,0,0.0,0,0.0,0.0
TrueFi TRU,TRU,2025-12,1,40872928.0,0,0.0,40872928.0
TrueFi TRU,TRU,2026-01,1,64931376.0,0,0.0,64931376.0
TrueFi TRU,TRU,2026-02,0,0.0,0,0.0,0.0
TrueFi TRU,TRU,2026-03,0,0.0,0,0.0,0.0
TrueFi TRU,TRU,2026-04,0,0.0,0,0.0,0.0
TrueFi TRU,TRU,2026-05,0,0.0,1,192979023.0046,-192979023.0046
TrueFi TRU,TRU,2026-06,0,0.0,0,0.0,0.0
